track,album,artist,genre,popularity,explicit,release_date,duration_ms,track_score,duration_min,release_year
party 4 u,how i'm feeling now,Charli xcx,hyperpop,93,False,2020-05-15,296653,46.5,4.944216666666667,2020
You Should Probably Leave,Starting Over,Chris Stapleton,country,86,False,2020-11-13,213493,43.0,3.5582166666666666,2020
The Thrill,The Thrill (feat. Empire of the Sun),Wiz Khalifa,rap,87,True,2020-11-11,234333,43.5,3.90555,2020
Took Her To The O,Levon James,King Von,chicago drill,84,True,2020-03-06,196179,42.0,3.26965,2020
Starting Over,Starting Over,Chris Stapleton,country,82,False,2020-11-13,240413,41.0,4.006883333333334,2020
Borderline,The Slow Rush,Tame Impala,neo-psychedelic,85,False,2020-02-14,237800,42.5,3.9633333333333334,2020
Armed & Dangerous,Welcome to O'Block,King Von,chicago drill,82,True,2020-10-30,122680,41.0,2.0446666666666666,2020
Heartless (feat. Morgan Wallen),Diplo Presents Thomas Wesley: Chapter 1 - Snake Oil,Diplo,moombahton,79,True,2020-05-29,169226,39.5,2.8204333333333333,2020
Revival,Elisabeth,Zach Bryan,country,80,False,2020-05-08,221250,40.0,3.6875,2020
The Adults Are Talking,The New Abnormal,The Strokes,garage rock,83,False,2020-04-10,309053,41.5,5.150883333333334,2020
Sky,Whole Lotta Red,Playboi Carti,rage rap,82,True,2020-12-25,193234,41.0,3.2205666666666666,2020
"...And to Those I Love, Thanks for Sticking Around",Stop Staring At the Shadows,$uicideboy$,emo rap,80,True,2020-02-14,168489,40.0,2.80815,2020
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,pop,85,False,2020-03-27,203064,42.5,3.3844,2020
Godzilla (feat. Juice WRLD),Music To Be Murdered By,Eminem,rap,84,True,2020-01-17,210800,42.0,3.513333333333333,2020
Forever After All,What You See Ain't Always What You Get (Deluxe Edition),Luke Combs,country,79,False,2020-10-23,232533,39.5,3.87555,2020
Will I See You Again?,Will I See You Again?,Thee Sacred Souls,retro soul,80,False,2020-12-01,240653,40.0,4.010883333333333,2020
Not You Too (feat. Chris Brown),Dark Lane Demo Tapes,Drake,rap,81,True,2020-05-01,269680,40.5,4.494666666666666,2020
Sorrows,A N N I V E R S A R Y,Bryson Tiller,trap soul,80,False,2020-10-02,193702,40.0,3.2283666666666666,2020
Crazy Train,Blizzard Of Ozz (40th Anniversary Expanded Edition),Ozzy Osbourne,metal,80,False,2020-09-18,293183,40.0,4.886383333333334,2020
Wishing Well,Legends Never Die,Juice WRLD,melodic rap,80,True,2020-07-10,194621,40.0,3.2436833333333333,2020
Joy Of My Life,Starting Over,Chris Stapleton,country,78,False,2020-11-13,274520,39.0,4.575333333333333,2020
Yale,Teen X,Ken Carson,rage rap,79,True,2020-08-14,106536,39.5,1.7756,2020
Homecoming,Eternal Atake,Lil Uzi Vert,melodic rap,78,True,2020-03-06,213884,39.0,3.5647333333333333,2020
Clouded,Fuck The World,Brent Faiyaz,r&b,79,True,2020-02-07,110128,39.5,1.8354666666666666,2020
Don't Start Now,Future Nostalgia,Dua Lipa,pop,85,False,2020-03-27,183290,42.5,3.0548333333333333,2020
Been Away,Fuck The World,Brent Faiyaz,r&b,79,True,2020-02-07,223629,39.5,3.72715,2020
Gratitude,House Of Miracles,Brandon Lake,worship,76,False,2020-08-28,337560,38.0,5.626,2020
Azul,Colores,J Balvin,reggaeton,86,False,2020-03-19,205933,43.0,3.4322166666666667,2020
One Of Them Girls,Hey World,Lee Brice,country,75,False,2020-11-20,188893,37.5,3.148216666666667,2020
Texas Sun,Texas Sun,Khruangbin,neo-psychedelic,80,False,2020-02-07,252811,40.0,4.213516666666667,2020
I Hope,Goldmine,Gabby Barrett,country,76,False,2020-06-19,210772,38.0,3.5128666666666666,2020
Like I Want You,TAKE TIME,GIVĒON,r&b,80,False,2020-03-27,260776,40.0,4.346266666666667,2020
Cold,Starting Over,Chris Stapleton,country,76,False,2020-11-13,309853,38.0,5.1642166666666665,2020
Black Creek,No Place Left to Leave (2006),Brent Cobb,outlaw country,76,False,2020-02-07,212453,38.0,3.5408833333333334,2020
The Good Ones,Goldmine,Gabby Barrett,country,75,False,2020-06-19,215140,37.5,3.5856666666666666,2020
Body Like A Back Road,SOUTHSIDE,Sam Hunt,country,75,False,2020-04-03,162546,37.5,2.7091,2020
GIVE HEAVEN SOME HELL,A ROCK,HARDY,country,74,False,2020-09-04,217801,37.0,3.6300166666666667,2020
Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake,rap,80,True,2020-05-01,220487,40.0,3.6747833333333335,2020
Drunk Driving,Sellout,Koe Wetzel,red dirt,73,False,2020-11-20,238211,36.5,3.9701833333333334,2020
Save Me,Self Medicated,Jelly Roll,country hip hop,74,False,2020-10-16,240722,37.0,4.012033333333333,2020
